scene,latlng,latlng_cn
scene-000298,1632799200.000.json,"113.94989351220,22.58689979907","113.95478204891063,22.583901526125278"
scene-000299,1632799260.000.json,"113.95086739876,22.59093410902","113.95575766267956,22.587938370562142"
scene-000300,1632799300.000.json,"113.95371597062,22.59248445538","113.9586108418534,22.589495021195297"
scene-000301,1632799470.000.json,"113.95781554602,22.59586266362","113.96271763712369,22.592882945801268"
scene-000302,1632799520.000.json,"113.95876240927,22.59626665639","113.96366622682402,22.593289210623574"
scene-000303,1632799560.000.json,"113.96056460063,22.59649238455","113.96547175190253,22.593519266080563"
scene-000304,1632799600.000.json,"113.96454670898,22.59672479729","113.96946157466616,22.59376154550796"
scene-000305,1632799640.000.json,"113.96632318864,22.59586050312","113.97124158751933,22.592901663935727"
scene-000306,1632799680.000.json,"113.96913346356,22.59589953348","113.97405772128623,22.5929480355332"
scene-000307,1632799700.000.json,"113.97091489358,22.59668982190","113.97584302186408,22.593743183185367"
scene-000308,1632799740.000.json,"113.97210128344,22.59719155609","113.97703203172766,22.59424819157511"
scene-000309,1632799800.000.json,"113.97637894726,22.59568679477","113.98131919989925,22.592755032369304"
scene-000310,1632799820.000.json,"113.97699924329,22.59395140465","113.98194080975034,22.591021150760785"
scene-000311,1632799920.000.json,"113.97876701099,22.59286269675","113.98371260933627,22.58993730321729"
scene-000312,1632800000.000.json,"113.98170232977,22.59334142965","113.98665489428849,22.59042452825427"
scene-000313,1632800080.000.json,"113.98483941260,22.59523859566","113.98979966289691,22.592331099400898"
scene-000314,1632800140.000.json,"113.98618301126,22.59526632823","113.99114654486912,22.59236279387513"
scene-000315,1632814900.000.json,"113.99035421770,22.59923802757","113.99532832422055,22.596347452194813"
scene-000316,1632814940.000.json,"113.99006575716,22.59663714529","113.99503897782951,22.593745345190925"
scene-000317,1632815100.000.json,"113.98560817622,22.59539906329","113.99057031156492,22.592493850875133"
scene-000320,1632815240.000.json,"113.97704762052,22.59363704354","113.98198927833643,22.59070688384864"
scene-000321,1632815280.000.json,"113.97528090851,22.59620305521","113.98021869160102,22.593268296404517"
scene-000322,1632815400.000.json,"113.96877204273,22.59578332671","113.97369552797811,22.592830858344026"
scene-000323,1632815440.000.json,"113.96671639386,22.59575459401","113.97163559237411,22.59279675463663"
scene-000324,1632815500.000.json,"113.96229111694,22.59683749792","113.96720156829426,22.59386863459431"
scene-000325,1632815580.000.json,"113.95882226205,22.59635841528","113.96372619395814,22.593381123149882"
scene-000326,1632815600.000.json,"113.95842627850,22.59680204237","113.96332952287358,22.59382387980292"
scene-000327,1632815680.000.json,"113.96087026557,22.60027748851","113.96577823110205,22.597305636387272"
scene-000328,1632815700.000.json,"113.96194092282,22.59973786556","113.96685088622164,22.596768545775532"
scene-000331,1632815860.000.json,"113.96338151221,22.60550671059","113.96829463365317,22.602541788751918"
scene-000332,1632815980.000.json,"113.96675380489,22.61231037997","113.97167413525928,22.60935506301577"
scene-000333,1632816040.000.json,"113.96791381385,22.61674061573","113.97283683209838,22.61378902226932"
scene-000334,1632816080.000.json,"113.96879907722,22.61901984725","113.9737241011218,22.61607095195064"
scene-000336,1632816180.000.json,"113.97087770210,22.62220589736","113.97580737769648,22.619263068711472"
scene-000337,1632816220.000.json,"113.97168731000,22.62282347379","113.97661878702002,22.619882932827682"
scene-000338,1632816260.000.json,"113.97282470000,22.62370856858","113.97775873558378,22.62077127022118"
scene-000339,1632816500.000.json,"113.97366182408,22.62188962758","113.97859760429822,22.618954314229548"
scene-000340,1632816660.000.json,"113.98007318334,22.61229721404","113.98502309216936,22.609378366087583"
scene-000341,1632816760.000.json,"113.98334904610,22.60551013067","113.98830634201029,22.602599728534685"
scene-000342,1632816820.000.json,"113.98877006285,22.60587505223","113.99374065505563,22.602980704176566"
scene-000343,1632817240.000.json,"113.99848474928,22.60602048316","114.00347977299782,22.60315542729772"
scene-000344,1632817280.000.json,"113.99869244004,22.60667728101","114.00368803236618,22.603812953103013"
scene-000345,1632817360.000.json,"113.99793023778,22.61007007170","114.00292411678099,22.607203948334483"
scene-000346,1632817400.000.json,"113.99699985254,22.61106793472","114.00199143943625,22.60819914614743"
scene-000347,1632817420.000.json,"113.99703714619,22.61105684052","114.0020288267829,22.608188163206787"
scene-000348,1632817500.000.json,"113.99873572861,22.60840483678","114.0037315417452,22.6055409008775"
scene-000349,1632817600.000.json,"113.99730575562,22.60606524019","114.00229779544735,22.60319661706545"
scene-000350,1632817640.000.json,"113.99542840679,22.60666883665","114.00041573680977,22.603794619870545"
scene-000351,1632817760.000.json,"113.99052392538,22.60504910344","113.99549882798311,22.60215987421864"
scene-000352,1632970310.000.json,"113.99928002672,22.59982577277","114.00427666788924,22.5969622295031"
scene-000353,1632970400.000.json,"113.99830081144,22.59761425312","114.00329482865266,22.594747430907763"
scene-000354,1632970463.000.json,"113.99543584138,22.59576798610","114.0004224900608,22.592892232742134"
scene-000355,1632970560.000.json,"113.99475844272,22.59532838100","113.99974335305089,22.592450520002238"
scene-000356,1632970620.000.json,"113.99399931969,22.59388920903","113.9989822237494,22.591008861586264"
scene-000357,1632970650.000.json,"113.99306997666,22.59428745014","113.99805056743826,22.591404353418277"
scene-000358,1632970700.000.json,"113.99453492224,22.59516101466","113.99951925799232,22.592282455666698"
scene-000359,1632970840.000.json,"113.98742619637,22.59502955393","113.99239277074304,22.592129668270733"
scene-000360,1632971020.000.json,"113.98214908287,22.59361036788","113.98710273281061,22.590694796979015"
scene-000361,1632971040.000.json,"113.98197925230,22.59338093707","113.9869324811166,22.590464843082398"
scene-000362,1632971080.000.json,"113.98116601774,22.59234301802","113.98611724028882,22.58942443413447"
scene-000363,1632971150.000.json,"113.98092309879,22.59027977978","113.98587361207083,22.587360225847156"
scene-000364,1632971230.000.json,"113.98166654425,22.58931188997","113.98661876567883,22.586394358900606"
scene-000365,1632971340.000.json,"113.98111361815,22.59223058031","113.98606470888485,22.58931183038179"
scene-000366,1632971400.000.json,"113.98191716185,22.59320703195","113.98687023105926,22.590290734870592"
scene-000367,1632971440.000.json,"113.98251131181,22.59377895869","113.98746584094964,22.590864462163363"
scene-000368,1632971510.000.json,"113.98670257493,22.59513921477","113.99166737536703,22.592237199432393"
scene-000369,1632971600.000.json,"113.98735271039,22.59884430587","113.99231934801065,22.59594472726377"
scene-000370,1632971680.000.json,"113.98391055013,22.59933470129","113.98886880792593,22.59642504736715"
scene-000371,1632971715.000.json,"113.98349389451,22.59764633008","113.98845103679618,22.594735222570268"
scene-000372,1632971780.000.json,"113.98510906399,22.59549480982","113.99006998740612,22.592588140945843"
scene-000373,1632971830.000.json,"113.98510914893,22.59549478465","113.99007007255152,22.592588116022245"
scene-000374,1632972120.000.json,"113.99335765983,22.59339210488","113.99833891662367,22.590509755487776"
scene-000375,1632972180.000.json,"113.99518944077,22.59419520424","114.00017536618925,22.591318493132185"
scene-000376,1632972200.000.json,"113.99577148467,22.59435826894","114.0007588908721,22.591483340233566"
scene-000377,1632972280.000.json,"113.99776812346,22.59504049146","114.00276062575006,22.592171702033177"
scene-000378,1632972320.000.json,"113.99912478344,22.59609738044","114.00412079139224,22.593232848292473"
scene-000379,1632972360.000.json,"113.99997222656,22.59763789191","114.00497048179194,22.594776142089344"
scene-000380,1632972440.000.json,"114.00086673278,22.59873956009","114.00586732638392,22.595880676814268"
scene-000381,1632972500.000.json,"113.99988747091,22.59983806358","114.00488565276481,22.59697636452174"
scene-000382,1632972580.000.json,"113.99810598367,22.60251684723","114.00309982235541,22.599650128450083"
scene-000383,1635385355.000.json,"113.98995733523,22.60332085905","113.99493071436085,22.60042968013507"
scene-000384,1635385420.000.json,"113.99050806278,22.59931901130","113.99548255830108,22.596428908084953"
scene-000385,1635385460.000.json,"113.99005770223,22.59699844316","113.99503092599421,22.594106668638332"
scene-000386,1635385540.000.json,"113.99014700660,22.59522213947","113.99512033901739,22.592330389524474"
scene-000387,1635385630.000.json,"113.99399991444,22.59488956349","113.9989828842024,22.592009352329057"
scene-000388,1635385660.000.json,"113.99495145616,22.59446998169","113.99993679844684,22.59159258805692"
scene-000389,1635385810.000.json,"113.99532465008,22.59352569027","114.00031087394531,22.59064929845013"
scene-000390,1635385920.000.json,"113.98825871217,22.59005020354","113.9932270236647,22.587152134079098"
scene-000391,1635386040.000.json,"113.98455829792,22.58857448365","113.98951743812805,22.58566528707678"
scene-000392,1635386160.000.json,"113.98335781495,22.58520644519","113.98831383291314,22.58229331477789"
scene-000393,1635386200.000.json,"113.98350531181,22.58278357159","113.98846153083907,22.579870578012937"
scene-000394,1635386240.000.json,"113.98396160710,22.57964640578","113.98891872885052,22.57673437692138"
scene-000395,1635386280.000.json,"113.98492068605,22.57629603359","113.98987992205902,22.5733864369994"
scene-000396,1635386320.000.json,"113.98634009509,22.57176012756","113.99130250919046,22.568854222406262"
scene-000399,1635386440.000.json,"113.98312593981,22.56090168511","113.98807984502251,22.557985273056904"
scene-000400,1635386500.000.json,"113.97743632632,22.55731773761","113.98237656295396,22.55438466893436"
scene-000401,1635386540.000.json,"113.97465538802,22.55678037322","113.97958924244128,22.553839479871126"
scene-000402,1635386660.000.json,"113.97156805657,22.55737555915","113.97649509988021,22.554426267756945"
scene-000403,1635386740.000.json,"113.96807327982,22.55801511380","113.97299289084908,22.55505657561652"
scene-000404,1635386800.000.json,"113.96309520085,22.55722136322","113.96800469124769,22.554250042507263"
scene-000405,1635386860.000.json,"113.95962980283,22.55696994702","113.96453270758329,22.55399016649928"
scene-000406,1635386980.000.json,"113.95769752987,22.55675952377","113.96259692739808,22.553775178523733"
scene-000407,1635387180.000.json,"113.95144367321,22.55664005416","113.95633264948837,22.553641820112233"
scene-000408,1635387220.000.json,"113.95270694114,22.55652804857","113.95759789932663,22.553532501201047"
scene-000409,1635387260.000.json,"113.95301576307,22.55299920842","113.95790699279524,22.550004034079187"
scene-000410,1635387330.000.json,"113.95289499980,22.55120606372","113.95778592175643,22.548210484475582"
scene-000411,1635387380.000.json,"113.94960060399,22.55081303857","113.95448641760741,22.54781049365237"
scene-000412,1635387440.000.json,"113.94890805801,22.54831135828","113.95379269741785,22.545307213206833"
scene-000413,1635387540.000.json,"113.94918816079,22.54469464270","113.9540729796876,22.541690802349397"
scene-000414,1635387580.000.json,"113.94820277036,22.54349200887","113.95308608946146,22.540486101231355"
scene-000415,1635387620.000.json,"113.94602201043,22.54337140519","113.95090230834629,22.540361227385986"
scene-000416,1635387680.000.json,"113.94176355773,22.54336365301","113.94663853135609,22.54034567710834"
scene-000417,1635387760.000.json,"113.94077151099,22.54393421438","113.94564538995435,22.54091456372019"
scene-000418,1635388060.000.json,"113.94072866976,22.54579443191","113.94560261849452,22.542774839263163"
scene-000419,1635388100.000.json,"113.93903297746,22.54616488611","113.94390511798721,22.543142484954757"
scene-000420,1635388180.000.json,"113.93741525900,22.54613979647","113.94228576737339,22.543114798049647"
scene-000421,1635388220.000.json,"113.93553974910,22.54558905674","113.94040847715857,22.542561145324772"
scene-000422,1635388260.000.json,"113.93382703531,22.54556923253","113.93869430587402,22.54253882458817"
scene-000423,1635388300.000.json,"113.93379833886,22.54556867664","113.93866558611936,22.542538227910384"
scene-000424,1635388340.000.json,"113.93166227980,22.54559430638","113.93652790201075,22.5425609250273"
scene-000425,1635388380.000.json,"113.93088633945,22.54667255080","113.93575149071033,22.54363822980622"
scene-000426,1635388420.000.json,"113.93233999803,22.54702134832","113.93720620390548,22.543988980141737"
scene-000427,1635388450.000.json,"113.93343039857,22.54702109527","113.93829744256924,22.543990232297194"
scene-000428,1635388520.000.json,"113.93630993201,22.54717975005","113.94117945845059,22.54415311619"
scene-000429,1635388560.000.json,"113.93713396133,22.54756713639","113.94200428817385,22.544541802020806"
scene-000430,1635388640.000.json,"113.93709018851,22.54930887979","113.94196058349942,22.546283608159452"
scene-000431,1635388900.000.json,"113.93410442618,22.54934489911","113.93897216222443,22.5463151658779"
scene-000432,1635388960.000.json,"113.93339654890,22.54934077436","113.93826371266168,22.54631003752195"
scene-000433,1635389000.000.json,"113.93140782364,22.54940393325","113.93627350671666,22.546370497113166"
scene-000434,1635389040.000.json,"113.93160542892,22.55083501734","113.93647134183061,22.547801953042722"
scene-000435,1635389160.000.json,"113.93423490604,22.55263209745","113.93910295778574,22.54960280960822"
scene-000436,1635389230.000.json,"113.93703053422,22.55162649157","113.94190101868078,22.548601307516424"
scene-000437,1635389300.000.json,"113.93704820051,22.55026921998","113.94191861603471,22.547243956892125"
scene-000438,1635389420.000.json,"113.93706364656,22.54974921642","113.94193404397954,22.546723937200028"
scene-000439,1635389450.000.json,"113.93707682488,22.54899591378","113.94194718728367,22.545970597513197"
scene-000440,1635389600.000.json,"113.93715818033,22.54575606487","113.94202841593739,22.542730636328812"
scene-000441,1635389640.000.json,"113.93720216283,22.54338492840","113.94207229085168,22.540359402284828"
scene-000442,1635389700.000.json,"113.93295975153,22.54269841727","113.93782615397267,22.53966659366768"
scene-000443,1635389740.000.json,"113.92920265105,22.54278971700","113.93406648316214,22.539753004952534"
scene-000444,1635389780.000.json,"113.92609082304,22.54288042542","113.93095302467134,22.53984013125062"
scene-000445,1635389940.000.json,"113.93835919260,22.54241654623","113.94323040304309,22.53939278956821"
scene-000446,1635390000.000.json,"113.94017532437,22.54240161767","113.94504844716987,22.53938085127241"
scene-000447,1635390040.000.json,"113.94044111858,22.54206063967","113.94531451183111,22.539040299419987"
scene-000448,1635390140.000.json,"113.94046586038,22.53950969570","113.94533911966052,22.536489231235446"
scene-000449,1635390360.000.json,"113.94508376314,22.53885893154","113.94996253805513,22.535846679503038"
scene-000450,1635390440.000.json,"113.94713492399,22.53888957308","113.95201645231299,22.535881254011137"
scene-000451,1635390460.000.json,"113.94713409468,22.53852829104","113.95201559898851,22.53551994780414"
scene-000452,1635390520.000.json,"113.94730795857,22.53692604454","113.95218960248644,22.533917943898803"
scene-000453,1635390560.000.json,"113.94850138274,22.53695672705","113.95338471544997,22.5339509959089"
scene-000454,1635390740.000.json,"113.94728887031,22.53695516487","113.95217048954929,22.53394702853907"
scene-000455,1635390780.000.json,"113.94715523601,22.53842361575","113.95203676293612,22.53541530735836"
scene-000456,1635391000.000.json,"113.95273885926,22.53929614878","113.95762877625101,22.536299386482764"
scene-000457,1635391460.000.json,"113.94953764676,22.57676451204","113.95442501215399,22.573764308827073"
scene-000458,1635391630.000.json,"113.95301931936,22.58349957020","113.95791248963079,22.58050748296459"
scene-000459,1635391650.000.json,"113.95467718302,22.58365452077","113.95957308246165,22.58066609224211"
scene-000460,1635391810.000.json,"113.96030457045,22.58478927304","113.96521049205616,22.581814010959885"
scene-000461,1635404310.000.json,"114.00295950438,22.59950114467","114.007965448332,22.596648712676995"
scene-000462,1635404400.000.json,"114.00820223551,22.60323935589","114.01322163102145,22.60040328855377"
scene-000463,1635404420.000.json,"114.00938992607,22.60453260002","114.01441237418992,22.60170028613758"
scene-000464,1635404460.000.json,"114.01174249684,22.60684340354","114.0167709389859,22.604018459097706"
scene-000465,1635404990.000.json,"114.02831498116,22.60445740823","114.03338215969063,22.60167948212171"
scene-000466,1635405010.000.json,"114.02885749380,22.60317576822","114.03392576956267,22.600399119112478"
scene-000467,1635405060.000.json,"114.03120921980,22.60077405545","114.03628237069228,22.59800332921105"
scene-000468,1635405120.000.json,"114.03378548139,22.59748792273","114.0388637616527,22.59472344535063"
scene-000469,1635405680.000.json,"114.05322601608,22.60665370895","114.05833832387061,22.603934774445587"
scene-000470,1635405910.000.json,"114.05696124056,22.61924076529","114.06207917291863,22.616530801521503"
scene-000471,1635405990.000.json,"114.05985436120,22.61930589645","114.06497561604772,22.616600979516168"
scene-000472,1635406120.000.json,"114.06365016367,22.61936431446","114.06877522454428,22.616665500374268"
scene-000473,1635406160.000.json,"114.06641225520,22.61938205270","114.07153968010343,22.616687298649275"
scene-000474,1635406360.000.json,"114.06824528695,22.61546051912","114.07337383200317,22.6127676388023"
scene-000475,1635406400.000.json,"114.07046284129,22.61229587903","114.07559263734142,22.609605343634932"
scene-000476,1635406440.000.json,"114.07382848999,22.60976931878","114.07895989409259,22.60708230277535"
scene-000477,1635406480.000.json,"114.07827449333,22.60688664697","114.08340722788,22.604203591718157"
scene-000478,1635406520.000.json,"114.08146634529,22.60215328096","114.08659927639826,22.599472141159882"
scene-000479,1635407740.000.json,"114.10525701706,22.54820632524","114.11037480751428,22.54552434118432"
scene-000480,1635407990.000.json,"114.10597422774,22.54653686122","114.11109114836805,22.543854522584024"
scene-000481,1635408700.000.json,"114.10259714847,22.53896234179","114.10771695610713,22.536280388177843"
scene-000482,1635408740.000.json,"114.10256028469,22.54088726388","114.10768025181048,22.538205440801303"
scene-000485,1635408940.000.json,"114.10928428283,22.54514660733","114.11439730471521,22.542462824394832"
scene-000486,1635409000.000.json,"114.11224017032,22.54554045155","114.11734941403505,22.542855118257155"
scene-000487,1635409260.000.json,"114.12341087127,22.54747237198","114.1285026305672,22.5447781783173"
scene-000488,1635409300.000.json,"114.12346804398,22.54748100986","114.12855970130074,22.544786759112103"
scene-000489,1635409402.000.json,"114.12579569629,22.55283353087","114.1308834264031,22.55013725072934"
scene-000490,1635409450.000.json,"114.12332432954,22.55561288651","114.12841677303653,22.552919426204763"
scene-000491,1635409490.000.json,"114.12090277564,22.55855028787","114.12599963427894,22.555859414853575"
scene-000493,1635409580.000.json,"114.11830803637,22.56535733921","114.12340961648253,22.562669365698895"
scene-000494,1635409660.000.json,"114.11789569127,22.57266860016","114.122998403171,22.569981710595233"
scene-000495,1635409700.000.json,"114.11742476178,22.57556924641","114.12252840327639,22.57288304978008"
scene-000496,1635409790.000.json,"114.11451283095,22.57668176403","114.11962092645776,22.57399784027927"
scene-000497,1635409900.000.json,"114.10524499520,22.57384441831","114.11036446988282,22.571164789170865"
scene-000498,1635409980.000.json,"114.09807886186,22.56974520570","114.1032043825449,22.567066243844945"
scene-000499,1635410100.000.json,"114.09398391498,22.56822988491","114.09911186936993,22.56555039114599"
scene-000500,1635410180.000.json,"114.08913539810,22.56708925210","114.09426524336953,22.564408230731495"
scene-000501,1635410280.000.json,"114.08205939875,22.57218785099","114.08719041213908,22.569503391271745"
scene-000502,1635410400.000.json,"114.06926172786,22.56942214518","114.07438796329015,22.566724523643547"
scene-000503,1635410620.000.json,"114.05450137684,22.58193848023","114.059613778254,22.57921867154976"
scene-000504,1635410660.000.json,"114.05306280959,22.58641796904","114.05817357568945,22.58369594166017"
scene-000505,1635410690.000.json,"114.05073386483,22.58932796187","114.05584152441233,22.586601664461316"
scene-000506,1635410760.000.json,"114.04559510085,22.59259371528","114.0506949599979,22.589856920679875"
scene-000507,1635410800.000.json,"114.04397675975,22.59258667310","114.04907389320262,22.589846249891053"
scene-000508,1635410860.000.json,"114.04097918231,22.59296777071","114.04607105094976,22.59022045329706"
scene-000509,1635410920.000.json,"114.03346100794,22.59467348658","114.03853844275798,22.591907789035098"
scene-000510,1635410950.000.json,"114.02917459021,22.59499281603","114.03424302189255,22.59221587117843"
scene-000511,1635411040.000.json,"114.01800447767,22.59218760647","114.02304721639322,22.589379007448162"
scene-000512,1635411080.000.json,"114.01335149697,22.59102217755","114.01838288242473,22.58819979056571"
scene-000513,1635411120.000.json,"114.01082549578,22.59219446919","114.01585072080951,22.5893647279877"
scene-000514,1635411220.000.json,"114.01098885089,22.59474381447","114.0160146456743,22.59191490045751"
scene-000515,1635757250.000.json,"113.99500230181,22.59548636870","113.9999878376868,22.592609266156597"
scene-000516,1635757280.000.json,"113.99475727467,22.59499337414","113.99974216054694,22.592115464248078"
scene-000517,1635757340.000.json,"113.99337703481,22.59363758318","113.99835835609724,22.59075532493168"
scene-000518,1635757380.000.json,"113.99297523306,22.59246278015","113.99795546861569,22.589579155004188"
scene-000519,1635757720.000.json,"113.97814580390,22.58755270310","113.98308961497696,22.584624858530994"
scene-000520,1635757800.000.json,"113.97186534185,22.58742164333","113.97679494967596,22.58447635127092"
scene-000521,1635757840.000.json,"113.96982869775,22.58642960784","113.97475383315569,22.583478720734007"
scene-000522,1635757950.000.json,"113.96277361451,22.58589548140","113.96768430246905,22.582926380628344"
scene-000523,1635758020.000.json,"113.96080617534,22.58563772106","113.965713089271,22.582663772606974"
scene-000524,1635758040.000.json,"113.96037389201,22.58541940740","113.96527998287789,22.582444389296736"
scene-000525,1635758360.000.json,"113.94552046428,22.58370559080","113.9504026509304,22.580698283050335"
scene-000526,1635758480.000.json,"113.94291585389,22.58366432985","113.94779474492142,22.580652214358867"
scene-000527,1635758710.000.json,"113.93398286089,22.58354581956","113.9388526601073,22.58051928494091"
scene-000528,1635758970.000.json,"113.92277003017,22.58471717870","113.92763363362005,22.58167750832653"
scene-000530,1635759460.000.json,"113.91329518689,22.58570920837","113.91815821399103,22.582662801936838"
scene-000531,1635760220.000.json,"113.90105625081,22.58235824815","113.90592461817526,22.579308553345037"
scene-000532,1635760290.000.json,"113.90289641120,22.58050110202","113.90776337256838,22.577451196025677"
scene-000533,1635760970.000.json,"113.92757955985,22.58444447976","113.93244511442319,22.58140979662637"
scene-000534,1635761240.000.json,"113.93915236024,22.58655699687","113.94402718182643,22.583538769369955"
scene-000535,1635761290.000.json,"113.94024845696,22.58698601424","113.94512448154333,22.583969664960087"
scene-000536,1635761360.000.json,"113.94317645466,22.58679053900","113.94805586055793,22.58377927602633"
scene-000537,1635762240.000.json,"113.96268370993,22.59686211699","113.96759492130175,22.593894226046388"
scene-000538,1635762430.000.json,"113.97589271117,22.59592863427","113.98083186798206,22.592995543852414"
scene-000539,1635762500.000.json,"113.97703665611,22.59315316178","113.9819782577636,22.590222906769924"
scene-000540,1635762940.000.json,"113.99024802007,22.59546417414","113.99522161979978,22.592572759374935"
scene-000541,1635762980.000.json,"113.99015856869,22.59857389884","113.9951321448209,22.595682644698837"
scene-000542,1635763020.000.json,"113.99183546171,22.60048463429","113.9968133514798,22.59759867894471"
scene-000543,1635817570.000.json,"114.00055788777,22.59619944211","114.0055575351414,22.59333927073895"
scene-000544,1635817630.000.json,"113.99710361082,22.59446860793","114.00209439368479,22.59159772756679"
scene-000545,1635817720.000.json,"113.99489330186,22.59483300646","113.99987852068465,22.591955485982954"
scene-000546,1635818520.000.json,"113.96998253780,22.58673037066","113.97490802179968,22.583779930880162"
scene-000547,1635818620.000.json,"113.96473009907,22.58806277820","113.96964477953033,22.585098847680307"
scene-000548,1635818670.000.json,"113.96124884172,22.58971230667","113.9661568495973,22.58673994488061"
scene-000549,1635818730.000.json,"113.95968926607,22.58970133950","113.96459435999341,22.58672522005494"
scene-000550,1635818940.000.json,"113.95660645045,22.58886605837","113.96150596956869,22.585882628635467"
scene-000551,1635819030.000.json,"113.95901657126,22.59225616674","113.96392059547992,22.58927878238956"
scene-000552,1635819070.000.json,"113.95917746670,22.59228401400","113.96408178603392,22.589307014091"
scene-000553,1635819300.000.json,"113.95413904269,22.59288913074","113.95903463486889,22.589900680145853"
scene-000554,1635819400.000.json,"113.94839123893,22.59243654192","113.95327792947363,22.58943593125829"
scene-000555,1635819480.000.json,"113.94240488360,22.59607446068","113.94728394825106,22.59306303102427"
scene-000556,1635819680.000.json,"113.94084783522,22.59594956318","113.94572509266268,22.592935403876197"
scene-000557,1635819720.000.json,"113.94037830430,22.59405301623","113.94525491933499,22.591037801588808"
scene-000558,1635819730.000.json,"113.94059066076,22.59369859891","113.9454674883535,22.590683697112215"
scene-000559,1635819900.000.json,"113.94418132079,22.58708862772","113.94906199364567,22.584079233949456"
scene-000560,1635819940.000.json,"113.94324327671,22.58786846997","113.94812283260426,22.58485746283844"
scene-000562,1635820350.000.json,"113.93584544651,22.58368459152","113.940716858055,22.580660805276793"
scene-000563,1635820430.000.json,"113.93240134799,22.58357908000","113.93726991117744,22.580550345478834"
scene-000564,1635820530.000.json,"113.92512232618,22.58501782594","113.92998677434323,22.581980519558595"
scene-000565,1635820560.000.json,"113.92511411110,22.58760847420","113.92997871976534,22.584571480918786"
scene-000566,1635820615.000.json,"113.92571760557,22.59004588750","113.93058262239238,22.58700984115003"
scene-000567,1635820680.000.json,"113.92491584844,22.58828690696","113.92978042034184,22.58524979374084"
scene-000568,1635820940.000.json,"113.92075023212,22.58471474074","113.92561333720863,22.581673269150773"
scene-000569,1635820990.000.json,"113.91806282667,22.58239121890","113.92292542551066,22.5793473550515"
scene-000570,1635821180.000.json,"113.91218456880,22.58049713607","113.91704747468388,22.577449565289037"
scene-000571,1635821340.000.json,"113.91819127796,22.57526985629","113.92305343594666,22.572225269897128"
scene-000572,1635821430.000.json,"113.92133091148,22.57721912975","113.92619366592479,22.57417727768577"
scene-000573,1635821450.000.json,"113.92126575652,22.57770337014","113.92612852694393,22.57466151597476"
scene-000574,1635821500.000.json,"113.91906658564,22.57997325915","113.92392912521521,22.57692986169503"
scene-000575,1635821570.000.json,"113.91750695230,22.58154289913","113.9223694665607,22.57849853843805"
scene-000576,1635821885.000.json,"113.91427184075,22.58471178478","113.91913467077298,22.58166577557144"
scene-000577,1635822950.000.json,"113.90257507370,22.56086553258","113.90744100755428,22.55781357061477"
scene-000578,1635823160.000.json,"113.89718538555,22.55625226329","113.90205532585183,22.5532003630189"
scene-000579,1635823210.000.json,"113.89354533744,22.55311572706","113.89841873334682,22.550064587808777"
scene-000580,1635823300.000.json,"113.88725308369,22.54762388328","113.89213382532942,22.544575378875734"
scene-000581,1635838010.000.json,"113.97368579037,22.62326976522","113.9786217122571,22.620334751611487"
scene-000582,1635838070.000.json,"113.97721120210,22.62377454582","113.98215516300327,22.62084943713213"
scene-000583,1635838320.000.json,"113.96697766740,22.63326960291","113.97189979559725,22.630318421474772"
scene-000584,1635838535.000.json,"113.95342969481,22.63285549924","113.95832666480011,22.62987178367062"
scene-000585,1635838570.000.json,"113.95215097506,22.63390079901","113.95704596292089,22.63091451304698"
scene-000586,1635838610.000.json,"113.94987995732,22.63705289718","113.95477165867683,22.634062432216293"
scene-000587,1635839780.000.json,"113.92099362070,22.62744815754","113.92585947956681,22.624413258310422"
scene-000588,1635839940.000.json,"113.92080200331,22.61660092670","113.92566713600333,22.61356403385576"
scene-000589,1635840300.000.json,"113.91543359798,22.59122496786","113.92029674028048,22.5881804552358"
scene-000590,1635840350.000.json,"113.91745628805,22.58893767909","113.92231926774129,22.58589419095361"
scene-000591,1635840510.000.json,"113.91218462546,22.58323557099","113.91704770443361,22.580188324682236"
scene-000592,1635840640.000.json,"113.90997039237,22.58132788048","113.91483394310477,22.57827949934969"
scene-000593,1635841000.000.json,"113.89813841286,22.57108577857","113.90300843328113,22.56803511317901"
scene-000594,1635841300.000.json,"113.89466085302,22.56819155167","113.8995340190711,22.565141413040575"
scene-000595,1635841330.000.json,"113.89240069581,22.56729137537","113.89727625949641,22.564241955628113"
scene-000596,1635841500.000.json,"113.90295339057,22.55799502749","113.90781889214671,22.554942823242587"
scene-000597,1635841550.000.json,"113.90466729808,22.55543966555","113.90953158588445,22.552387387297813"
scene-000598,1635841570.000.json,"113.90458858263,22.55404255736","113.90945282748523,22.550990153032362"
scene-000599,1635841590.000.json,"113.90481944552,22.55275928288","113.90968347731611,22.549706802525375"
scene-000600,1635841620.000.json,"113.90312893338,22.55091853791","113.9079938738185,22.54786575501797"
scene-000601,1635841660.000.json,"113.89830347600,22.54821690333","113.90317190679922,22.545164158370724"
scene-000602,1635841700.000.json,"113.89447829133,22.54504523000","113.89935018400091,22.54199316212353"
scene-000603,1635841740.000.json,"113.89101752278,22.54226185263","113.89589311700334,22.539210944526044"
scene-000609,1635843320.000.json,"113.89945417250,22.47408326585","113.90431695599409,22.471028462401165"
scene-000610,1635843360.000.json,"113.90127488081,22.47540754251","113.90613633689804,22.472352588023462"
scene-000611,1635843440.000.json,"113.90406508482,22.47766024218","113.90892482088667,22.474605338382027"
