scene,latlng,latlng_cn
scene-000125,1631521657.000.json,"113.97636759139,22.62675306154","113.98130980304803,22.623826095529893"
scene-000126,1631521696.000.json,"113.97348002788,22.62648041088","113.97841569588002,22.623545384989622"
scene-000127,1631521838.000.json,"113.96805557014,22.63064992708","113.97297977209008,22.627701080140092"
scene-000128,1631522162.000.json,"113.95091356997,22.63558248585","113.95580674052772,22.632593892028"
scene-000129,1631522182.000.json,"113.94976776554,22.63727461306","113.9546593138448,22.634283959088513"
scene-000130,1631522222.000.json,"113.94923710131,22.64013559331","113.95412804748172,22.63714439576294"
scene-000131,1631522260.000.json,"113.94670951029,22.64020929204","113.95159687897664,22.637213087650842"
scene-000132,1631522315.000.json,"113.94317803598,22.63823066097","113.94806070674987,22.6352274710884"
scene-000133,1631522414.000.json,"113.94208003335,22.63603445549","113.94696124875236,22.633028898338235"
scene-000134,1631522639.000.json,"113.93505877776,22.62902494800","113.93993236518914,22.626006758827376"
scene-000135,1631522700.000.json,"113.93505873021,22.62902495651","113.9399323175984,22.626006767268855"
scene-000136,1631522755.000.json,"113.93454219749,22.62872999724","113.93941532394075,22.62571100067561"
scene-000137,1631522800.000.json,"113.93437666229,22.62589634006","113.93924946993046,22.622876607504654"
scene-000138,1631522860.000.json,"113.93470957429,22.62068223516","113.93958233258287,22.617662097785864"
scene-000139,1631522920.000.json,"113.93431566374,22.61308884878","113.9391876087477,22.610066906896567"
scene-000140,1631523105.000.json,"113.93260778996,22.60842525997","113.93747808120553,22.60540019615089"
scene-000141,1631523368.000.json,"113.94243952695,22.59593451020","113.94731862393445,22.592923122897584"
scene-000142,1631523695.000.json,"113.96128813560,22.59662409296","113.96619665753546,22.593652745169578"
scene-000143,1631523765.000.json,"113.96770067694,22.59559576144","113.97262190270725,22.59264045692885"
scene-000144,1631523825.000.json,"113.97236925714,22.59717464388","113.97730059360191,22.594232005376597"
scene-000145,1631617652.000.json,"113.98979757297,22.60422783872","113.9947706124498,22.601336314654542"
scene-000146,1631617725.000.json,"113.99149388497,22.60007104601","113.99647089270945,22.59718400581829"
scene-000147,1631617767.000.json,"113.99005352013,22.59776462826","113.99502678259776,22.594872947119008"
scene-000148,1631617800.000.json,"113.99005447099,22.59528545470","113.99502757688228,22.59239343643401"
scene-000149,1631617870.000.json,"113.98720248085,22.59506736479","113.99216850640552,22.59216682064736"
scene-000150,1631617890.000.json,"113.98720031969,22.59506749995","113.99216633993179,22.59216694941766"
scene-000151,1631617910.000.json,"113.98659000083,22.59521176411","113.99155452939249,22.592309425484494"
scene-000152,1631617990.000.json,"113.98336348856,22.59449457557","113.98832011437881,22.59158265697932"
scene-000153,1631618010.000.json,"113.98258501415,22.59387662700","113.98753972648053,22.59096235778655"
scene-000154,1631618040.000.json,"113.98222663069,22.59365539809","113.98718046925414,22.59074005822619"
scene-000156,1631618100.000.json,"113.97786011387,22.59291811363","113.98280360415538,22.589990152578835"
scene-000157,1631618120.000.json,"113.97708836567,22.59319942080","113.98203008942635,22.590269317580045"
scene-000158,1631618154.000.json,"113.97642907232,22.59570700516","113.98136944108454,22.59277538606666"
scene-000159,1631618194.000.json,"113.97369629468,22.59675782246","113.97863054730658,22.59381875654259"
scene-000160,1631618214.000.json,"113.97231672926,22.59721337541","113.97724795255387,22.594270599355376"
scene-000161,1631618234.000.json,"113.97108203609,22.59679972059","113.97601053390925,22.593853546580526"
scene-000162,1631618284.000.json,"113.96710110703,22.59566726812","113.97202109312158,22.59271041310075"
scene-000163,1631618370.000.json,"113.96077019966,22.59656320236","113.96567774083903,22.593590590028974"
scene-000164,1631618390.000.json,"113.96001091764,22.59642288675","113.96491703338165,22.593448428210877"
scene-000165,1631618410.000.json,"113.95892473373,22.59629755814","113.96382884783904,22.593320499476878"
scene-000166,1631618454.000.json,"113.95841893317,22.59633198641","113.96332213443232,22.59335374213865"
scene-000167,1631618485.000.json,"113.95737151988,22.59543016701","113.96227279639383,22.592449360555126"
scene-000169,1631618530.000.json,"113.95560761604,22.59400185090","113.9605057423148,22.591016823817466"
scene-000170,1631618600.000.json,"113.95079778234,22.59100152388","113.95568794416367,22.58800564865708"
scene-000171,1631618650.000.json,"113.95002368784,22.59083707996","113.95491266890562,22.58783957677833"
scene-000172,1631618680.000.json,"113.95002370944,22.59083705499","113.95491269053636,22.587839551849612"
scene-000173,1631618720.000.json,"113.95000422586,22.58905748553","113.95489306488084,22.586059713031396"
scene-000174,1631618740.000.json,"113.94980294361,22.58766303454","113.95469139378001,22.58466467117793"
scene-000175,1631618760.000.json,"113.94940774310,22.58690783587","113.95429556016165,22.583908569064327"
scene-000176,1631618800.000.json,"113.94691530827,22.58725844134","113.95179959812903,22.584254250068398"
scene-000177,1631618820.000.json,"113.94614488964,22.58713635950","113.95102812473593,22.58413066408014"
scene-000178,1631618840.000.json,"113.94493290844,22.58709755819","113.9498145427472,22.58408956136668"
scene-000179,1631618860.000.json,"113.94379990410,22.58708070886","113.94868009777002,22.58407061411045"
scene-000180,1631618930.000.json,"113.94324406082,22.58703115548","113.9481235646113,22.584020044581436"
scene-000181,1631618950.000.json,"113.94319418192,22.58642248012","113.94807358614628,22.58341120328198"
scene-000182,1631618970.000.json,"113.94321199343,22.58527305011","113.94809134658725,22.582261663364392"
scene-000183,1631618990.000.json,"113.94323069917,22.58420563085","113.94811000756472,22.58119414746595"
scene-000184,1631619130.000.json,"113.94324083807,22.58389217800","113.94812013900794,22.58088067490598"
scene-000185,1631619260.000.json,"113.94328749366,22.57845576223","113.94816650729715,22.575443704025165"
scene-000186,1631619295.000.json,"113.94327396158,22.57570180773","113.94815278417906,22.572689415600973"
scene-000187,1631619340.000.json,"113.94167499691,22.57524481779","113.9465518856434,22.572229535854824"
scene-000188,1631619360.000.json,"113.94141065355,22.57525071196","113.9462872381679,22.572234971022237"
scene-000189,1631619380.000.json,"113.94135702127,22.57525366451","113.94623354466115,22.572237830979258"
